<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
03/07/15,00:00:00,7.212.0000000,7.290.0000000,7.155.0000000,7.270.0000000,557.467
06/07/15,00:00:00,7.270.0000000,7.270.0000000,6.960.0000000,6.981.0000000,728.183
07/07/15,00:00:00,6.987.0000000,7.158.0000000,6.970.0000000,7.140.0000000,781.530
08/07/15,00:00:00,7.134.0000000,7.134.0000000,6.810.0000000,6.881.0000000,986.661
09/07/15,00:00:00,6.885.0000000,7.095.0000000,6.885.0000000,7.064.0000000,747.863
10/07/15,00:00:00,7.067.0000000,7.336.0000000,7.067.0000000,7.294.0000000,673.663
13/07/15,00:00:00,7.284.0000000,7.450.0000000,7.223.0000000,7.442.0000000,788.313
14/07/15,00:00:00,7.437.0000000,7.555.0000000,7.372.0000000,7.531.0000000,827.292
15/07/15,00:00:00,7.530.0000000,7.579.0000000,7.434.0000000,7.515.0000000,720.923
16/07/15,00:00:00,7.529.0000000,7.590.0000000,7.494.0000000,7.547.0000000,472.163
17/07/15,00:00:00,7.551.0000000,7.760.0000000,7.497.0000000,7.707.0000000,691.692
20/07/15,00:00:00,7.701.0000000,7.713.0000000,7.517.0000000,7.524.0000000,723.706
21/07/15,00:00:00,7.530.0000000,7.727.0000000,7.474.0000000,7.665.0000000,747.808
22/07/15,00:00:00,7.664.0000000,7.738.0000000,7.538.0000000,7.571.0000000,797.855
23/07/15,00:00:00,7.576.0000000,7.610.0000000,7.350.0000000,7.387.0000000,640.467
24/07/15,00:00:00,7.382.0000000,7.388.0000000,7.127.0000000,7.174.0000000,779.312
27/07/15,00:00:00,7.172.0000000,7.175.0000000,6.856.0000000,6.922.0000000,1.176.103
28/07/15,00:00:00,6.924.0000000,7.189.0000000,6.859.0000000,7.075.0000000,1.153.073
29/07/15,00:00:00,7.078.0000000,7.272.0000000,7.078.0000000,7.243.0000000,946.006
30/07/15,00:00:00,7.249.0000000,7.386.0000000,7.203.0000000,7.312.0000000,769.599
31/07/15,00:00:00,7.307.0000000,7.360.0000000,7.121.0000000,7.268.0000000,1.029.158
03/08/15,00:00:00,7.267.0000000,7.274.0000000,7.134.0000000,7.150.0000000,887.949
04/08/15,00:00:00,7.158.0000000,7.352.0000000,7.152.0000000,7.325.0000000,807.183
05/08/15,00:00:00,7.332.0000000,7.516.0000000,7.324.0000000,7.394.0000000,832.836
06/08/15,00:00:00,7.398.0000000,7.487.0000000,7.295.0000000,7.348.0000000,845.051
07/08/15,00:00:00,7.354.0000000,7.546.0000000,7.345.0000000,7.499.0000000,742.460
10/08/15,00:00:00,7.500.0000000,7.627.0000000,7.430.0000000,7.582.0000000,711.791
11/08/15,00:00:00,7.582.0000000,7.650.0000000,7.380.0000000,7.424.0000000,790.226
12/08/15,00:00:00,7.418.0000000,7.502.0000000,7.331.0000000,7.450.0000000,680.793
13/08/15,00:00:00,7.454.0000000,7.519.0000000,7.375.0000000,7.415.0000000,582.919
14/08/15,00:00:00,7.418.0000000,7.560.0000000,7.393.0000000,7.497.0000000,621.092
17/08/15,00:00:00,7.498.0000000,7.498.0000000,7.341.0000000,7.360.0000000,627.751
18/08/15,00:00:00,7.350.0000000,7.411.0000000,7.264.0000000,7.310.0000000,712.189
19/08/15,00:00:00,7.320.0000000,7.396.0000000,7.160.0000000,7.174.0000000,766.781
20/08/15,00:00:00,7.171.0000000,7.318.0000000,7.145.0000000,7.156.0000000,776.303
21/08/15,00:00:00,7.157.0000000,7.212.0000000,7.004.0000000,7.021.0000000,680.386
24/08/15,00:00:00,7.021.0000000,7.039.0000000,6.724.0000000,6.859.0000000,1.528.674
25/08/15,00:00:00,6.884.0000000,7.149.0000000,6.884.0000000,7.005.0000000,886.353
26/08/15,00:00:00,7.020.0000000,7.246.0000000,6.997.0000000,7.228.0000000,854.802
27/08/15,00:00:00,7.239.0000000,7.495.0000000,7.226.0000000,7.454.0000000,929.431
28/08/15,00:00:00,7.452.0000000,7.551.0000000,7.326.0000000,7.498.0000000,965.438
31/08/15,00:00:00,7.480.0000000,7.596.0000000,7.340.0000000,7.536.0000000,827.207
01/09/15,00:00:00,7.534.0000000,7.534.0000000,7.225.0000000,7.270.0000000,893.819
02/09/15,00:00:00,7.271.0000000,7.458.0000000,7.257.0000000,7.414.0000000,870.152
03/09/15,00:00:00,7.410.0000000,7.482.0000000,7.346.0000000,7.380.0000000,705.116
04/09/15,00:00:00,7.377.0000000,7.457.0000000,7.353.0000000,7.383.0000000,530.018
07/09/15,00:00:00,7.386.0000000,7.430.0000000,7.359.0000000,7.420.0000000,370.115
08/09/15,00:00:00,7.419.0000000,7.567.0000000,7.419.0000000,7.516.0000000,701.375
09/09/15,00:00:00,7.519.0000000,7.598.0000000,7.386.0000000,7.410.0000000,662.767
10/09/15,00:00:00,7.598.0000000,7.690.0000000,7.557.0000000,7.620.0000000,18.023
11/09/15,00:00:00,7.609.0000000,7.680.0000000,7.562.0000000,7.621.0000000,33.556
